                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8893,                 1.1974,                 1.5637,                0.87594,                0.84767,                0.89051,                0.45687,                 1.7665,                0.97733,                 1.5386,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.7004,                 1.1346,                 1.3992,                0.95307,                0.88535,                0.91371,                0.49492,                  1.682,                0.89634,                 1.4725,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.7537,                 1.1584,                 1.4472,                   0.93,                0.85108,                 0.8914,                0.48053,                 1.7016,                0.92995,                  1.488,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.7247,                 1.0736,                 1.3527,                0.81187,                0.81593,                0.87194,                0.44629,                 1.7902,                 1.0767,                 1.5372,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.6728,                 1.0797,                 1.3833,                0.91536,                0.88276,                0.91834,                 0.4764,                 1.6737,                0.96135,                  1.475,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.8184,                 1.3571,                 1.4378,                 0.9032,                0.87025,                0.89385,                0.45099,                 1.7392,                0.93403,                 1.5058,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.7228,                 1.0865,                 1.4011,                 0.8699,                0.86594,                0.86818,                0.44734,                 1.6952,                0.92371,                 1.4813,               0.000604,               0.000604,               0.000604
                     42,                 1.6902,                 1.0254,                 1.3531,                0.90089,                0.84059,                0.87056,                0.46454,                 1.6753,                0.91598,                 1.4782,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.6716,                 1.0838,                 1.4084,                0.85536,                0.86583,                0.87348,                0.48072,                 1.6878,                0.89958,                 1.4821,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.7409,                 1.0675,                 1.3615,                0.87594,                0.88278,                0.88752,                0.49219,                 1.7025,                0.96928,                 1.4943,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.6653,                 1.1027,                 1.4259,                0.86538,                0.88527,                0.88626,                0.47658,                 1.7371,                0.97999,                 1.5055,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.7169,                 1.0623,                 1.3626,                 0.8551,                0.85552,                0.88705,                0.45882,                 1.7877,                 1.0044,                 1.5342,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.6449,                 1.0401,                 1.3604,                0.90011,                0.88917,                0.89516,                0.47017,                  1.746,                0.90097,                 1.5094,              0.0005446,              0.0005446,              0.0005446
                     48,                   1.78,                 1.0309,                  1.402,                0.85789,                0.82552,                0.83029,                0.43617,                 1.7671,                0.95189,                 1.5156,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.6693,                 1.0147,                 1.3536,                0.89241,                0.83934,                0.86578,                0.41484,                 1.8656,                 1.0044,                 1.5578,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.7526,                 1.0069,                 1.2943,                0.90527,                0.88117,                0.89272,                0.48354,                 1.6827,                0.89204,                 1.4672,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.6554,                0.95812,                 1.3145,                0.91632,                0.89062,                0.90102,                0.48076,                 1.7237,                0.88258,                 1.4849,               0.000505,               0.000505,               0.000505
                     52,                 1.7389,                0.96951,                 1.3488,                0.88564,                0.87757,                0.89559,                0.46182,                  1.728,                0.87591,                 1.4884,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.7165,                 1.0087,                 1.3483,                0.87506,                0.91447,                0.89465,                0.46532,                 1.6992,                0.88888,                 1.4728,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.6658,                0.97454,                 1.3443,                0.87979,                0.91381,                 0.9083,                0.48603,                 1.7034,                0.86691,                 1.4667,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.6488,                0.93639,                  1.327,                0.91525,                0.89778,                0.90874,                0.46524,                 1.7391,                0.87979,                 1.4947,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.6772,                0.98868,                 1.4036,                0.92531,                0.88534,                0.90153,                0.48002,                 1.6749,                0.87093,                 1.4538,              0.0004555,              0.0004555,              0.0004555
                     57,                  1.619,                0.96304,                 1.3321,                0.91123,                0.90781,                0.90513,                0.48213,                  1.675,                0.84214,                 1.4536,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.6877,                0.95085,                 1.3889,                0.92278,                0.87614,                0.90312,                0.49134,                 1.6661,                0.84748,                  1.453,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.6674,                0.97171,                 1.3401,                0.92084,                0.89155,                0.90939,                0.46848,                 1.7044,                0.89552,                 1.4706,              0.0004258,              0.0004258,              0.0004258
