                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0101,                 5.2683,                 4.3296,                      0,                      0,                      0,                      0,                    6.4,                 5.4133,                 4.1903,                0.00024,                0.00024,                0.00024
                      2,                 3.2299,                 3.4539,                 3.6141,                      0,                      0,                      0,                      0,                 6.4508,                 5.4617,                 4.3024,             0.00048515,             0.00048515,             0.00048515
                      3,                  2.611,                   2.81,                  2.821,                      0,                      0,                      0,                      0,                 6.4958,                 4.9418,                  4.405,             0.00072535,             0.00072535,             0.00072535
                      4,                 2.3263,                 2.4146,                 2.3044,                0.00563,                0.23899,                0.20122,                0.10544,                 4.5195,                 3.9707,                 3.1141,              0.0009606,              0.0009606,              0.0009606
                      5,                 2.2807,                 2.1672,                  2.094,                0.99538,                0.18571,                0.35311,                0.14718,                 2.3474,                 2.3847,                 1.9828,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.1768,                 1.9748,                 1.9478,                0.70095,                0.26677,                0.57946,                0.21806,                 2.4478,                  2.251,                 1.9346,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.1353,                 1.8577,                  1.906,                 0.6154,                0.60755,                0.58808,                0.18569,                 2.4459,                 1.6325,                 1.8738,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.0852,                 1.6911,                 1.8072,                0.72894,                0.60664,                0.75016,                0.31869,                 2.1115,                 1.4541,                 1.7004,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.0046,                 1.6194,                 1.7521,                0.71959,                0.72038,                0.78115,                0.30987,                 2.1193,                 1.3606,                 1.7154,              0.0009208,              0.0009208,              0.0009208
                     10,                  1.998,                 1.5199,                 1.7183,                0.56287,                0.81869,                0.78092,                0.38607,                 1.9024,                 1.5042,                 1.6165,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.9961,                 1.5217,                 1.6807,                0.71798,                0.79741,                0.85843,                0.40719,                 1.8253,                  1.276,                 1.5419,               0.000901,               0.000901,               0.000901
                     12,                 1.9673,                 1.5286,                 1.6816,                0.69323,                 0.8517,                0.84344,                0.42386,                 1.7912,                 1.1517,                 1.5287,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.9455,                 1.4601,                 1.6499,                0.72054,                0.75379,                0.82625,                0.43629,                 1.8571,                 1.1431,                 1.5561,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.9189,                 1.3997,                 1.6381,                0.68873,                0.85043,                0.79061,                0.30165,                 1.9596,                 1.1973,                 1.6217,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.9154,                 1.3662,                 1.6642,                0.81479,                0.82429,                0.87256,                0.41271,                 1.8903,                 1.1566,                 1.5559,              0.0008614,              0.0008614,              0.0008614
                     16,                  1.926,                 1.3804,                 1.6225,                0.77063,                0.81322,                0.83322,                0.39096,                 1.7275,                  1.062,                  1.494,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.8957,                 1.3198,                 1.6058,                0.74809,                0.83045,                0.85725,                0.42729,                 1.7473,                  1.258,                 1.5227,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.8492,                 1.3129,                 1.5711,                 0.6204,                0.80883,                0.75891,                0.30223,                  1.928,                  1.271,                 1.6488,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.9291,                 1.2785,                 1.6009,                0.89531,                0.87808,                 0.9284,                0.42777,                 1.7525,                0.97776,                 1.5396,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.8641,                 1.2399,                 1.5758,                0.72191,                0.80355,                0.81658,                0.36235,                 1.7861,                 1.1117,                 1.5321,              0.0008119,              0.0008119,              0.0008119
                     21,                  1.839,                 1.2266,                 1.5568,                0.81579,                 0.8717,                0.90038,                0.44186,                 1.8508,                0.97302,                 1.5363,               0.000802,               0.000802,               0.000802
